DRRALL,CRRINT,RESP_DATE,CRRALL,GEO_ID,DRRINT,state,county,tract,GEOID10
0,53.2,2020-04-02,0,1400000USXXXXXXXXXXX,0,48,453,0,XTESTVALUEX
4.7,40.9,2020-04-02,41,1400000US48453000205,4.7,48,453,000205,48453000205
4.4,44,2020-04-02,44.2,1400000US48453000304,4.4,48,453,000304,48453000304
5.2,48.8,2020-04-02,49.5,1400000US48453000308,5,48,453,000308,48453000308
3.9,42.3,2020-04-02,42.4,1400000US48453000401,3.9,48,453,000401,48453000401
1.7,25.9,2020-04-02,25.9,1400000US48453000601,1.7,48,453,000601,48453000601
2.2,23.8,2020-04-02,23.8,1400000US48453000607,2.2,48,453,000607,48453000607
4.2,18.9,2020-04-02,32.2,1400000US48453000801,2.4,48,453,000801,48453000801
3.9,35.6,2020-04-02,36.4,1400000US48453000804,3.8,48,453,000804,48453000804
3.8,33.8,2020-04-02,34.4,1400000US48453001000,3.8,48,453,001000,48453001000
3.8,43,2020-04-02,43,1400000US48453001605,3.8,48,453,001605,48453001605
3.9,36.3,2020-04-02,36.4,1400000US48453001911,3.8,48,453,001911,48453001911
3.8,50.8,2020-04-02,51.1,1400000US48453001914,3.8,48,453,001914,48453001914
5.7,55.8,2020-04-02,55.8,1400000US48453001916,5.7,48,453,001916,48453001916
5.7,49.1,2020-04-02,49.3,1400000US48453001919,5.7,48,453,001919,48453001919
4.9,48.9,2020-04-02,49.1,1400000US48453001922,4.8,48,453,001922,48453001922
4.1,34.4,2020-04-02,35,1400000US48453002003,4.1,48,453,002003,48453002003
5.5,37.5,2020-04-02,37.5,1400000US48453002007,5.5,48,453,002007,48453002007
4.6,47.6,2020-04-02,48.4,1400000US48453002106,4.6,48,453,002106,48453002106
4.6,25.8,2020-04-02,43.7,1400000US48453002109,3.3,48,453,002109,48453002109
3.3,31.4,2020-04-02,32.1,1400000US48453002112,3.2,48,453,002112,48453002112
3.9,23.8,2020-04-02,40.4,1400000US48453002201,2.9,48,453,002201,48453002201
2.1,25.7,2020-04-02,26.4,1400000US48453002214,2,48,453,002214,48453002214
3.5,32.2,2020-04-02,32.5,1400000US48453002217,3.5,48,453,002217,48453002217
2.7,24,2020-04-02,24.9,1400000US48453002220,2.6,48,453,002220,48453002220
3.4,28.8,2020-04-02,28.8,1400000US48453002304,3.4,48,453,002304,48453002304
3,28.6,2020-04-02,28.7,1400000US48453002313,3,48,453,002313,48453002313
2.3,21,2020-04-02,21,1400000US48453002316,2.3,48,453,002316,48453002316
2.7,26.5,2020-04-02,27,1400000US48453002321,2.6,48,453,002321,48453002321
3.2,31.9,2020-04-02,31.9,1400000US48453002323,3.2,48,453,002323,48453002323
4.1,25.6,2020-04-02,25.6,1400000US48453002326,4.1,48,453,002326,48453002326
3.5,33.9,2020-04-02,34.1,1400000US48453002407,3.5,48,453,002407,48453002407
4.9,38.6,2020-04-02,39.2,1400000US48453002444,4.9,48,453,002444,48453002444
3.5,53.2,2020-04-02,53.6,1400000US48453002446,3.5,48,453,002446,48453002446
4,32,2020-04-02,32.4,1400000US48453002449,3.9,48,453,002449,48453002449
3.9,48,2020-04-02,48.2,1400000US48453030600,3.9,48,453,030600,48453030600
2.3,26.9,2020-04-02,27.4,1400000US48453002452,2.3,48,453,002452,48453002452
4.1,52.7,2020-04-02,52.9,1400000US48453030000,4.1,48,453,030000,48453030000
3.6,44.3,2020-04-02,44.8,1400000US48453030300,3.6,48,453,030300,48453030300
5.4,47.7,2020-04-02,48,1400000US48453030900,5.4,48,453,030900,48453030900
5.5,54.7,2020-04-02,55,1400000US48453031200,5.4,48,453,031200,48453031200
2.6,32.9,2020-04-02,33,1400000US48453031400,2.6,48,453,031400,48453031400
4.6,42.1,2020-04-02,42.2,1400000US48453031700,4.5,48,453,031700,48453031700
